shop_id,In,Ex
59,1,1
25,0,3
25,1,3
24,0,2
24,1,2
23,1,0
23,0,0
19,0,3
19,1,3
22,0,2
22,1,2
18,0,2
18,1,2
21,1,3
21,0,3
28,1,3
28,0,3
27,1,3
27,0,3
29,1,2
29,0,2
26,1,3
26,0,3
4,0,1
4,1,1
6,1,3
6,0,3
2,0,1
2,1,1
3,1,1
3,0,1
7,0,2
7,1,2
0,0,0
0,1,0
1,0,0
1,1,0
16,1,3
16,0,3
15,1,2
15,0,2
8,1,0
8,0,0
10,0,1
10,1,1
14,0,1
14,1,1
13,0,1
13,1,1
12,1,1
12,0,1
53,0,1
31,1,3
31,0,3
30,1,3
30,0,3
32,1,0
32,0,0
35,1,2
35,0,2
56,1,3
56,0,3
54,1,3
54,0,3
59,0,1
53,1,1
47,1,2
47,0,2
50,1,3
50,0,3
42,1,3
42,0,3
43,1,1
43,0,1
52,1,2
52,0,2
51,0,2
51,1,2
41,1,1
41,0,1
38,1,1
38,0,1
44,0,2
44,1,2
37,0,2
37,1,2
46,1,2
46,0,2
45,1,1
45,0,1
5,1,1
5,0,1
57,1,3
57,0,3
58,1,2
58,0,2
55,0,0
17,1,1
17,0,1
9,0,0
9,1,0
49,1,0
49,0,0
39,0,0
39,1,0
40,1,0
40,0,0
48,0,0
48,1,0
34,1,0
34,0,0
33,1,0
33,0,0
20,1,0
20,0,0
11,0,0
11,1,0
36,0,0
36,1,0
